"","State","X2017.2016","X2015.2016","X2014.2015","X2012.2013","X2011.2012","X2010.2011","X2009.2010","X2008.2009","X2007.2008","X2006.2007","X2005.2006","X2004.2005","X2003.2004","X2002.2003","X2001.2002","X2000.2001","X1999.2000","X1998.1999","X1997.1998","X1996.1997","X1995.1996","X1994.1995","X1993.1994","X1992.1993","X1991.1992","X1990.1991"
"38","OR","62,509","61,675","61,983","57,364","55,831","56,647","56,583","57,635","59,287","58,465","56,479","54,447","54,480","56,374","57,201","58,974","60,307","59,417","57,894","56,148","56,838","54,949","53,564","55,172","53,985","53,275"
"39","PA","62,732","62,387","59,834","56,192","55,017","54,476","54,691","56,919","58,036","58,244","58,670","57,818","57,369","57,715","59,221","60,289","57,965","57,267","58,062","55,892","54,893","53,968","52,270","51,621","52,385","53,180"
"40","RI","64,621","60,242","59,202","60,452","56,763","55,861","58,367","59,951","62,506","64,870","63,878","62,312","61,047","58,847","60,709","61,847","61,641","62,187","57,243","55,443","57,191","54,523","54,262","54,199","53,270","56,295"
"41","SC","55,238","51,736","47,267","46,802","45,638","45,382","47,066","47,593","50,256","50,342","49,452","50,477","50,871","51,538","52,020","53,002","53,721","51,979","51,243","53,223","50,342","47,778","46,309","45,503","47,850","50,378"
"42","SD","57,790","57,830","55,981","55,125","52,218","51,340","51,654","55,688","56,952","55,189","54,831","53,886","53,140","52,276","53,405","53,563","52,472","51,148","47,391","45,723","46,738","48,091","47,627","45,781","44,233","44,094"
"43","TN","53,844","50,710","47,141","45,392","46,085","44,831","44,941","45,859","47,068","49,209","49,590","49,556","49,830","50,365","50,131","49,167","51,286","52,644","49,094","47,429","47,273","46,742","44,522","41,907","42,402","42,126"
"44","TX","59,346","58,914","57,136","55,717","54,558","53,414","53,752","53,717","53,820","53,681","52,451","52,987","53,161","53,664","55,785","55,911","56,105","55,517","53,760","52,601","51,477","50,901","49,294","48,065","48,410","50,153"
"45","UT","70,125","68,744","67,125","64,386","61,509","62,250","65,411","69,182","67,408","65,010","67,775","67,574","66,006","65,615","65,552","66,791","67,920","67,368","66,060","61,578","58,130","58,529","59,277","59,385","54,067","52,148"
"46","VT","62,975","61,852","62,240","58,628","58,050","59,831","61,456","58,896","57,018","59,759","63,576","62,685","59,685","58,276","57,686","56,569","58,946","60,359","56,448","52,027","52,350","56,472","55,394","54,147","53,785","54,022"
"47","VA","69,587","65,749","66,093","70,202","68,763","68,206","68,686","70,018","70,430","69,865","67,469","65,926","69,861","70,504","68,773","68,527","67,380","66,393","65,487","63,412","59,619","59,907","61,403","63,317","64,604","63,792"
"48","WA","73,620","70,699","65,399","64,935","64,306","62,688","66,221","66,901","66,734","67,764","65,211","64,335","64,208","62,605","60,355","59,838","63,907","69,295","69,778","62,660","57,116","56,008","57,376","58,974","59,006","59,184"
"49","WV","45,350","44,808","42,651","44,500","46,133","46,939","47,279","44,868","46,624","48,354","46,341","44,636","43,594","41,944","40,650","41,583","42,611","41,745","41,123","40,699","39,635","39,266","38,113","36,186","37,778","40,561"
"50","WI","62,277","59,225","58,772","57,509","56,818","56,797","57,655","58,559","59,604","61,886","59,591","57,837","60,655","62,269","62,829","63,649","65,880","64,846","61,391","61,461","64,027","61,846","55,641","55,209","56,001","55,410"
"51","WY","58,455","61,055","60,379","60,113","60,528","59,177","59,351","60,484","59,322","57,551","56,800","57,662","57,956","55,594","54,729","55,848","55,771","54,053","52,097","49,685","49,414","52,449","51,850","50,601","51,506","52,435"
